"Référence OSM mère (Opportunité)";"Référence OSM (Opportunité)";"Client/Prospect (Opportunité)";"Offre";"Nature Offre";"Produit existant";"Nature produit (Produit existant)";"Quantité";"Prix unitaire";"Total final";"Remise (%) (Opportunité)";"Total remisé HT";"Extension (Opportunité)";"Budget à valider (Opportunité)";"Budget à valider Extension (Opportunité)";"Durée d'engagement (Opportunité)";"Type d'engagement (Opportunité)";"Demandeur (Opportunité)";"Equipe";"Créé le (Opportunité)";"Mois de création";"Année de création";"Mois et année de création";"Raison de statut OSM (Opportunité)";"Statut OSM (Opportunité)";"Statut activation (Commande)";"Date d’activation (Commande)";"Mois d'activation";"Staut Final";"Gouvernorat";"Phase de l’opportunité (Opportunité)"
"";"20210517_61589";"MEDWAYS INTERNATIONAL ";"Top du Top 50";"MOBILE";"Top du Top 50";"Offre";"4";"50";"200";"0";"168.067226890756";"Non";"3780";"";"24";"Engagement";"Boutheina Khannoussi";"FID";"Mon May 17 11:06:21 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon Jun 07 00:00:00 CEST 2021";"6";"Conclue";"Tunis";"Ordering"
"";"20210517_61589";"MEDWAYS INTERNATIONAL ";"Top du Top 30";"MOBILE";"Top du Top 30";"Offre";"4";"30";"120";"0";"100.840336134454";"Non";"3780";"";"24";"Engagement";"Boutheina Khannoussi";"FID";"Mon May 17 11:06:21 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon Jun 07 00:00:00 CEST 2021";"6";"Conclue";"Tunis";"Ordering"
"";"20210517_61589";"MEDWAYS INTERNATIONAL ";"Top du Top 20";"MOBILE";"Top du Top 20";"Offre";"5";"20";"100";"0";"84.0336134453782";"Non";"3780";"";"24";"Engagement";"Boutheina Khannoussi";"FID";"Mon May 17 11:06:21 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon Jun 07 00:00:00 CEST 2021";"6";"Conclue";"Tunis";"Ordering"
"";"20210517_61589";"MEDWAYS INTERNATIONAL ";"Top du Top 10";"MOBILE";"Top du Top 10";"Offre";"1";"10";"10";"0";"8.40336134453782";"Non";"3780";"";"24";"Engagement";"Boutheina Khannoussi";"FID";"Mon May 17 11:06:21 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon Jun 07 00:00:00 CEST 2021";"6";"Conclue";"Tunis";"Ordering"
"";"20210518_61680";"AFRICA NEGOCE";"Top du Top 150";"MOBILE";"Top du Top 150";"Offre";"3";"150";"450";"25";"283.613445378151";"Non";"6120";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 12:30:26 CEST 2021";"5";"2021";"5/2021";"Clôturée DCE";"Clôturée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61680";"AFRICA NEGOCE";"Top du Top 10";"MOBILE";"Top du Top 10";"Offre";"3";"10";"30";"25";"18.9075630252101";"Non";"6120";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 12:30:26 CEST 2021";"5";"2021";"5/2021";"Clôturée DCE";"Clôturée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61686";"STE SOTUPLAST";"Top du Top 150";"MOBILE";"Top du Top 150";"Offre";"1";"150";"150";"25";"94.5378151260504";"Non";"2040";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 13:01:47 CEST 2021";"5";"2021";"5/2021";"Clôturée DCE";"Clôturée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61686";"STE SOTUPLAST";"Top du Top 10";"MOBILE";"Top du Top 10";"Offre";"1";"10";"10";"25";"6.30252100840336";"Non";"2040";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 13:01:47 CEST 2021";"5";"2021";"5/2021";"Clôturée DCE";"Clôturée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61686";"STE SOTUPLAST";"Top du Top 30";"MOBILE";"Top du Top 30";"Offre";"1";"30";"30";"25";"18.9075630252101";"Non";"2040";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 13:01:47 CEST 2021";"5";"2021";"5/2021";"Clôturée DCE";"Clôturée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61686";"STE SOTUPLAST";"Top du Top 50";"MOBILE";"Top du Top 50";"Offre";"3";"50";"150";"25";"94.5378151260504";"Non";"2040";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 13:01:47 CEST 2021";"5";"2021";"5/2021";"Clôturée DCE";"Clôturée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61687";"SOCIETE BORNI TRANSPORT";"Top du Top 200";"MOBILE";"Top du Top 200";"Offre";"2";"200";"400";"45";"184.873949579832";"Non";"14760";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 13:20:19 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61687";"SOCIETE BORNI TRANSPORT";"Top du Top 150";"MOBILE";"Top du Top 150";"Offre";"3";"150";"450";"45";"207.983193277311";"Non";"14760";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 13:20:19 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61687";"SOCIETE BORNI TRANSPORT";"Top du Top 20";"MOBILE";"Top du Top 20";"Offre";"40";"20";"800";"45";"369.747899159664";"Non";"14760";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 13:20:19 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61687";"SOCIETE BORNI TRANSPORT";"Pro Plus Forfait Pro Plus 30";"MOBILE";"Pro Plus Forfait Pro Plus 30";"Offre";"7";"30";"210";"45";"97.0588235294118";"Non";"14760";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 13:20:19 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210518_61687";"SOCIETE BORNI TRANSPORT";"Pro Plus Forfait Pro Plus 100";"MOBILE";"Pro Plus Forfait Pro Plus 100";"Offre";"6";"100";"600";"45";"277.310924369748";"Non";"14760";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Tue May 18 13:20:19 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"20190823_45870";"20210519_61772";"STE VALUE DIGITAL SERVICES";"Top du Top 70";"MOBILE";"Top du Top 70";"Offre";"1";"70";"70";"0";"58.8235294117647";"Oui";"6700";"700";"24";"Engagement";"Skander Masmoudi";"GRAND COMPTE";"Wed May 19 09:14:22 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Thu May 20 00:00:00 CEST 2021";"5";"Conclue";"Tunis";"Analyzing"
"";"20210519_61774";"E.G.B";"Pro Plus Forfait Pro Plus 100";"MOBILE";"Pro Plus Forfait Pro Plus 100";"Offre";"1";"100";"100";"30";"58.8235294117647";"Non";"4980";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Wed May 19 09:47:17 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210519_61774";"E.G.B";"Pro Plus Forfait Pro Plus 50";"MOBILE";"Pro Plus Forfait Pro Plus 50";"Offre";"5";"50";"250";"30";"147.058823529412";"Non";"4980";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Wed May 19 09:47:17 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210519_61774";"E.G.B";"Pro Plus Forfait Pro Plus 30";"MOBILE";"Pro Plus Forfait Pro Plus 30";"Offre";"6";"30";"180";"30";"105.882352941176";"Non";"4980";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Wed May 19 09:47:17 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210519_61774";"E.G.B";"Top du Top 10";"MOBILE";"Top du Top 10";"Offre";"16";"10";"160";"30";"94.1176470588235";"Non";"4980";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Wed May 19 09:47:17 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210519_61774";"E.G.B";"Top du Top 20";"MOBILE";"Top du Top 20";"Offre";"7";"20";"140";"30";"82.3529411764706";"Non";"4980";"";"24";"Engagement";"Jamel Dhief";"DME SUD";"Wed May 19 09:47:17 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"Perdue";"0";"Perdue + Winback"
"";"20210519_61882";"STE BORCHANI MOBILY";"Flybox Pro plus 75 Go";"BROAD BAND";"Flybox Pro plus 75 Go";"Offre";"2";"42";"84";"0";"70.5882352941177";"Non";"438";"";"24";"Engagement";"Yassine Znazen";"FID";"Wed May 19 16:56:42 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Wed May 19 00:00:00 CEST 2021";"5";"Conclue";"Sfax";"Analyzing"
"";"20210520_62078";"TUNISIE VOYAGES";"Forfait data Pro plus 35 Go";"BROAD BAND";"Forfait data Pro plus 35 Go";"Offre";"5";"24";"120";"0";"100.840336134454";"Non";"0";"";"6";"Engagement";"Aimen Ben Abdallah";"";"Thu May 20 17:12:51 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Wed Jun 16 00:00:00 CEST 2021";"6";"Conclue";"Ariana";"Negotiating"
"";"20210520_62081";"PRESTIGE PROJECTS";"Forfait data Pro plus 55 Go";"BROAD BAND";"Forfait data Pro plus 55 Go";"Offre";"1";"32";"32";"0";"26.890756302521";"Non";"199";"";"12";"Engagement";"Slim Mahressi";"DME NORD";"Thu May 20 17:25:38 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Tue May 25 00:00:00 CEST 2021";"5";"Conclue";"Tunis";"Analyzing"
"20200312_50641";"20210524_62289";"STE EL MAHDI DE COMMERCE SOMACOM";"Top du Top 30";"MOBILE";"Top du Top 30";"Offre";"2";"30";"60";"0";"50.4201680672269";"Oui";"3858";"1539";"24";"Engagement";"Zied Boulifa";"FID";"Mon May 24 09:44:36 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon May 24 00:00:00 CEST 2021";"5";"Conclue";"Mahdia";"Analyzing"
